hex,mnemonic,addrmode,cycles,operation,flags,stability
9E,SHX,abyw,7,"#=X&H",--------,unstable
9F,AHX,abyw,7,"#=A&X&H",--------,unstable
A0,LDY,imm,2,"Y=#",*-----*-,
A1,LDA,izxr,6,"A=#",*-----*-,
A2,LDX,imm,2,"X=#",*-----*-,
A3,LAX,izxr,6,"A,X=#",*-----*-,stable
A4,LDY,zpgr,3,"Y=#",*-----*-,
A5,LDA,zpgr,3,"A=#",*-----*-,
A6,LDX,zpgr,3,"X=#",*-----*-,
A7,LAX,zpgr,3,"A,X=#",*-----*-,stable
A8,TAY,imp,2,"Y=A",*-----*-,
A9,LDA,imm,2,"A=#",*-----*-,
AA,TAX,imp,2,"X=A",*-----*-,
AB,LAX,imm,2,"A,X=#",*-----*-,highly unstable
AC,LDY,absr,4,"Y=#",*-----*-,
AD,LDA,absr,4,"A=#",*-----*-,
AE,LDX,absr,4,"X=#",*-----*-,
AF,LAX,absr,4,"A,X=#",*-----*-,stable
B0,BCS,rel,2-4,"if C=1: PC=PC+#",--------,
B1,LDA,izyr,5-6,"A=#",*-----*-,
B2,KIL,rel,2-4,crash,--------,crash
B3,LAX,izyr,5-6,"A,X=#",*-----*-,stable
B4,LDY,zpxr,4,"Y=#",*-----*-,
B5,LDA,zpxr,4,"A=#",*-----*-,
B6,LDX,zpyr,4,"X=#",*-----*-,
B7,LAX,zpyr,4,"A,X=#",*-----*-,stable
B8,CLV,imp,2,"V=0",-0------,
B9,LDA,abyr,4-5,"A=#",*-----*-,
BA,TSX,imp,2,"X=S",*-----*-,
BB,LAS,abyr,4-5,"A,X,S=#&S",*-----*-,stable
BC,LDY,abxr,4-5,"Y=#",*-----*-,
BD,LDA,abxr,4-5,"A=#",*-----*-,
BE,LDX,abyr,4-5,"X=#",*-----*-,
BF,LAX,abyr,4-5,"A,X=#",*-----*-,stable
C0,CPY,imm,2,"Y-#",--------,
C1,CMP,izxr,6,"A-#",--------,
C2,NOP,imm,2,"do nothing",--------,stable
C3,DCP,izxm,8,"#=#-1; A-#",*-----**,stable
C4,CPY,zpgr,3,"Y-#",--------,
C5,CMP,zpgr,3,"A-#",--------,
C6,DEC,zpgm,5,"#=#-1",*-----*-,
C7,DCP,zpgm,5,"#=#-1; A-#",*-----**,stable
C8,INY,imp,2,"Y=Y+1",*-----*-,
C9,CMP,imm,2,"A-#",--------,
CA,DEX,imp,2,"X=X-1",*-----*-,
CB,AXS,imm,2,"X=A&X-#",*-----**,stable
CC,CPY,absr,4,"Y-#",--------,
CD,CMP,absr,4,"A-#",--------,
CE,DEC,absm,6,"#=#-1",*-----*-,
CF,DCP,absm,6,"#=#-1; A-#",*-----**,stable
D0,BNE,rel,2-4,"if Z=0: PC=PC+#",--------,
D1,CMP,izyr,5-6,"A-#",--------,
D2,KIL,rel,2-4,crash,--------,crash
D3,DCP,izym,8,"#=#-1; A-#",*-----**,stable
D4,NOP,zpxr,4,"do nothing",--------,stable
D5,CMP,zpxr,4,"A-#",--------,
D6,DEC,zpxm,6,"#=#-1",*-----*-,
D7,DCP,zpxm,6,"#=#-1; A-#",*-----**,stable
D8,CLD,imp,2,"D=0",----0---,
D9,CMP,abyr,4-5,"A-#",--------,
DA,NOP,imp,2,"do nothing",--------,stable
DB,DCP,abym,7,"#=#-1; A-#",*-----**,stable
DC,NOP,abxr,4-5,"do nothing",--------,stable
DD,CMP,abxr,4-5,"A-#",--------,
DE,DEC,abxm,7,"#=#-1",*-----*-,
DF,DCP,abxm,7,"#=#-1; A-#",*-----**,stable
E0,CPX,imm,2,"X-#",--------,
E1,SBC,izxr,6,"A=A-#",**----**,
E2,NOP,imm,2,"do nothing",--------,stable
E3,ISC,izxm,8,"#=#+1; A-#",**----**,stable
E4,CPX,zpgr,3,"X-#",--------,
E5,SBC,zpgr,3,"A=A-#",**----**,
E6,INC,zpgm,5,"#=#+1",*-----*-,
E7,ISC,zpgm,5,"#=#+1; A-#",**----**,stable
E8,INX,imp,2,"X=X+1",*-----*-,
E9,SBC,imm,2,"A=A-#",**----**,
EA,NOP,imp,2,"do nothing",--------,
EB,SBC,imm,2,"A=A-#",**----**,stable
EC,CPX,absr,4,"X-#",--------,
ED,SBC,absr,4,"A=A-#",**----**,
EE,INC,absm,6,"#=#+1",*-----*-,
EF,ISC,absm,6,"#=#+1; A-#",**----**,stable
F0,BEQ,rel,2-4,"if Z=1: PC=PC+#",--------,
F1,SBC,izyr,5-6,"A=A-#",**----**,
F2,KIL,rel,2-4,crash,--------,crash
F3,ISC,izym,8,"#=#+1; A-#",**----**,stable
F4,NOP,zpxr,4,"do nothing",--------,stable
F5,SBC,zpxr,4,"A=A-#",**----**,
F6,INC,zpxm,6,"#=#+1",*-----*-,
F7,ISC,zpxm,6,"#=#+1; A-#",**----**,stable
F8,SED,imp,2,"D=1",----1---,
F9,SBC,abyr,4-5,"A=A-#",**----**,
FA,NOP,imp,2,"do nothing",--------,stable
FB,ISC,abym,7,"#=#+1; A-#",**----**,stable
FC,NOP,abxr,4-5,"do nothing",--------,stable
FD,SBC,abxr,4-5,"A=A-#",**----**,
FE,INC,abxm,7,"#=#+1",*-----*-,
FF,ISC,abxm,7,"#=#+1; A-#",**----**,stable
